r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
5.408786535263061523e-01,5.408786535263061523e-01,5.002566576004028320e-01,5.199100375175476074e-01,4.432098865509033203e+00,5.545454502105712891e+00,0.000000000000000000e+00,4.450000000000000000e+02,1.000000000000000000e+01,3.860000000000000000e+02,4.000000000000000000e+00,7.664197087287902832e-01,6.776247024536132812e-01,8.379999995231628418e-01,0.000000000000000000e+00,5.095368027687072754e-01,8.321213531494140625e+01
5.408786535263061523e-01,5.408786535263061523e-01,4.995525479316711426e-01,5.220425128936767578e-01,3.951456308364868164e+00,4.800000190734863281e+00,0.000000000000000000e+00,4.290000000000000000e+02,8.000000000000000000e+00,3.660000000000000000e+02,2.000000000000000000e+00,7.652430534362792969e-01,6.784788370132446289e-01,7.940000295639038086e-01,0.000000000000000000e+00,5.117916464805603027e-01,8.993824768066406250e+01
5.408786535263061523e-01,5.198706984519958496e-01,4.984913468360900879e-01,5.120136141777038574e-01,4.728260993957519531e+00,6.000000000000000000e+00,0.000000000000000000e+00,4.450000000000000000e+02,1.000000000000000000e+01,3.780000000000000000e+02,3.000000000000000000e+00,7.664206624031066895e-01,6.904818415641784668e-01,8.159999847412109375e-01,0.000000000000000000e+00,5.079241394996643066e-01,9.609835815429687500e+01
5.408786535263061523e-01,5.408786535263061523e-01,5.006977319717407227e-01,5.220955014228820801e-01,4.793103218078613281e+00,6.300000190734863281e+00,0.000000000000000000e+00,4.450000000000000000e+02,9.000000000000000000e+00,3.730000000000000000e+02,5.000000000000000000e+00,7.663415074348449707e-01,6.777016520500183105e-01,8.259999752044677734e-01,0.000000000000000000e+00,5.119320750236511230e-01,1.012491836547851562e+02
5.408786535263061523e-01,5.371195077896118164e-01,5.006630420684814453e-01,5.205713510513305664e-01,4.787499904632568359e+00,4.900000095367431641e+00,0.000000000000000000e+00,4.420000000000000000e+02,6.000000000000000000e+00,3.670000000000000000e+02,2.000000000000000000e+00,7.650212645530700684e-01,6.721767187118530273e-01,8.399999737739562988e-01,0.000000000000000000e+00,5.119320750236511230e-01,1.071455764770507812e+02
5.408786535263061523e-01,5.408786535263061523e-01,4.995456635951995850e-01,5.184888839721679688e-01,4.586956501007080078e+00,4.454545497894287109e+00,0.000000000000000000e+00,4.390000000000000000e+02,6.000000000000000000e+00,3.600000000000000000e+02,0.000000000000000000e+00,7.652243971824645996e-01,6.944001317024230957e-01,8.159999847412109375e-01,0.000000000000000000e+00,5.081285238265991211e-01,1.122857513427734375e+02
5.408786535263061523e-01,5.408786535263061523e-01,4.997428953647613525e-01,5.174398422241210938e-01,4.797979831695556641e+00,5.333333492279052734e+00,0.000000000000000000e+00,4.270000000000000000e+02,8.000000000000000000e+00,3.600000000000000000e+02,3.000000000000000000e+00,7.656069397926330566e-01,6.953631639480590820e-01,8.019999861717224121e-01,0.000000000000000000e+00,5.119584798812866211e-01,1.169009704589843750e+02
5.408786535263061523e-01,5.371195077896118164e-01,4.991906881332397461e-01,5.137928128242492676e-01,4.415841579437255859e+00,6.090909004211425781e+00,0.000000000000000000e+00,4.310000000000000000e+02,8.000000000000000000e+00,3.530000000000000000e+02,3.000000000000000000e+00,7.663646340370178223e-01,6.817851662635803223e-01,7.979999780654907227e-01,0.000000000000000000e+00,5.081285238265991211e-01,1.226863250732421875e+02
5.408786535263061523e-01,5.213255882263183594e-01,4.987708330154418945e-01,5.121871829032897949e-01,4.739583492279052734e+00,5.199999809265136719e+00,0.000000000000000000e+00,4.430000000000000000e+02,7.000000000000000000e+00,3.680000000000000000e+02,2.000000000000000000e+00,7.660827040672302246e-01,6.811273694038391113e-01,8.080000281333923340e-01,0.000000000000000000e+00,5.081285238265991211e-01,1.281031036376953125e+02
5.408786535263061523e-01,5.371195077896118164e-01,5.000075697898864746e-01,5.198047161102294922e-01,4.825687885284423828e+00,5.400000095367431641e+00,0.000000000000000000e+00,4.240000000000000000e+02,7.000000000000000000e+00,3.390000000000000000e+02,2.000000000000000000e+00,7.663120627403259277e-01,6.715142726898193359e-01,7.820000052452087402e-01,0.000000000000000000e+00,5.119584798812866211e-01,1.329898071289062500e+02
5.408786535263061523e-01,5.371195077896118164e-01,4.994857311248779297e-01,5.159595012664794922e-01,4.211111068725585938e+00,4.800000190734863281e+00,0.000000000000000000e+00,4.210000000000000000e+02,7.000000000000000000e+00,3.400000000000000000e+02,1.000000000000000000e+00,7.669405937194824219e-01,6.671330928802490234e-01,8.199999928474426270e-01,0.000000000000000000e+00,5.117568373680114746e-01,1.389439086914062500e+02
5.408786535263061523e-01,5.408786535263061523e-01,5.006135106086730957e-01,5.176382064819335938e-01,4.703703880310058594e+00,4.500000000000000000e+00,0.000000000000000000e+00,4.300000000000000000e+02,7.000000000000000000e+00,3.460000000000000000e+02,1.000000000000000000e+00,7.666366696357727051e-01,6.951559782028198242e-01,7.839999794960021973e-01,0.000000000000000000e+00,5.119584798812866211e-01,1.440656585693359375e+02
5.408786535263061523e-01,5.408786535263061523e-01,5.011762976646423340e-01,5.227710008621215820e-01,4.713043689727783203e+00,5.300000190734863281e+00,0.000000000000000000e+00,4.250000000000000000e+02,8.000000000000000000e+00,3.490000000000000000e+02,2.000000000000000000e+00,7.671993970870971680e-01,6.837362647056579590e-01,7.699999809265136719e-01,0.000000000000000000e+00,5.149953961372375488e-01,1.513649902343750000e+02
5.408786535263061523e-01,5.371195077896118164e-01,4.998917281627655029e-01,5.170167684555053711e-01,4.400000095367431641e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+02,8.000000000000000000e+00,3.280000000000000000e+02,2.000000000000000000e+00,7.686374783515930176e-01,6.929051876068115234e-01,7.500000000000000000e-01,0.000000000000000000e+00,5.119584798812866211e-01,1.580515747070312500e+02
5.408786535263061523e-01,5.408786535263061523e-01,5.003314614295959473e-01,5.220757126808166504e-01,4.537735939025878906e+00,4.916666507720947266e+00,0.000000000000000000e+00,4.230000000000000000e+02,7.000000000000000000e+00,3.340000000000000000e+02,1.000000000000000000e+00,7.682979702949523926e-01,6.879945993423461914e-01,7.879999876022338867e-01,0.000000000000000000e+00,5.119584798812866211e-01,1.646914215087890625e+02
5.408786535263061523e-01,5.408786535263061523e-01,4.993459284305572510e-01,5.149880051612854004e-01,4.861386299133300781e+00,5.384615421295166016e+00,0.000000000000000000e+00,4.260000000000000000e+02,9.000000000000000000e+00,3.520000000000000000e+02,3.000000000000000000e+00,7.691854238510131836e-01,7.046866416931152344e-01,7.979999780654907227e-01,0.000000000000000000e+00,5.081285238265991211e-01,1.718373870849609375e+02
5.408786535263061523e-01,5.408786535263061523e-01,5.009644627571105957e-01,5.237973928451538086e-01,4.233870983123779297e+00,4.699999809265136719e+00,0.000000000000000000e+00,4.050000000000000000e+02,7.000000000000000000e+00,3.210000000000000000e+02,0.000000000000000000e+00,7.702299356460571289e-01,6.767236590385437012e-01,7.519999742507934570e-01,0.000000000000000000e+00,5.119584798812866211e-01,1.788055267333984375e+02
9.768426418304443359e-01,9.768426418304443359e-01,5.035789012908935547e-01,5.590814352035522461e-01,4.504504680633544922e+00,4.909090995788574219e+00,0.000000000000000000e+00,4.220000000000000000e+02,7.000000000000000000e+00,3.340000000000000000e+02,3.000000000000000000e+00,7.701233625411987305e-01,6.902915239334106445e-01,7.779999971389770508e-01,0.000000000000000000e+00,5.119584798812866211e-01,1.858404693603515625e+02
9.768426418304443359e-01,5.371195077896118164e-01,4.996265470981597900e-01,5.197807550430297852e-01,4.391304492950439453e+00,6.699999809265136719e+00,0.000000000000000000e+00,4.130000000000000000e+02,9.000000000000000000e+00,3.350000000000000000e+02,5.000000000000000000e+00,7.688897252082824707e-01,6.829780340194702148e-01,7.699999809265136719e-01,0.000000000000000000e+00,5.119584798812866211e-01,1.922955780029296875e+02
9.768426418304443359e-01,5.371195077896118164e-01,5.002526640892028809e-01,5.172122716903686523e-01,4.683168411254882812e+00,4.636363506317138672e+00,0.000000000000000000e+00,4.240000000000000000e+02,6.000000000000000000e+00,3.440000000000000000e+02,1.000000000000000000e+00,7.703071236610412598e-01,6.853155493736267090e-01,7.979999780654907227e-01,0.000000000000000000e+00,5.119584798812866211e-01,1.997008819580078125e+02
